Starting Bayesian optimization...

Testing configuration: depth=6, learning_rate=5e-06, loss_function=Huber, optimizer=Adadelta, normalization=-pi_to_pi
Epoch 1/20 - avg_loss=0.518370, avg_acc=0.389269, avg_test_acc=0.283246
Epoch 2/20 - avg_loss=0.150096, avg_acc=0.767525, avg_test_acc=0.293993
Epoch 3/20 - avg_loss=0.145045, avg_acc=0.776715, avg_test_acc=0.266196
Epoch 4/20 - avg_loss=0.143335, avg_acc=0.776790, avg_test_acc=0.215843
Epoch 5/20 - avg_loss=0.142574, avg_acc=0.776145, avg_test_acc=0.231070
Epoch 6/20 - avg_loss=0.142955, avg_acc=0.777322, avg_test_acc=0.221956
Epoch 7/20 - avg_loss=0.143110, avg_acc=0.775499, avg_test_acc=0.242310
Epoch 8/20 - avg_loss=0.142572, avg_acc=0.777322, avg_test_acc=0.287917
Epoch 9/20 - avg_loss=0.142821, avg_acc=0.776183, avg_test_acc=0.216108
Epoch 10/20 - avg_loss=0.142738, avg_acc=0.777892, avg_test_acc=0.231070
Epoch 11/20 - avg_loss=0.142500, avg_acc=0.775689, avg_test_acc=0.215083
Epoch 12/20 - avg_loss=0.142413, avg_acc=0.775841, avg_test_acc=0.232627
Epoch 13/20 - avg_loss=0.142127, avg_acc=0.779866, avg_test_acc=0.245044
Epoch 14/20 - avg_loss=0.142357, avg_acc=0.778993, avg_test_acc=0.237260
Epoch 15/20 - avg_loss=0.141452, avg_acc=0.781233, avg_test_acc=0.226513
Epoch 16/20 - avg_loss=0.142854, avg_acc=0.780740, avg_test_acc=0.178894
Epoch 17/20 - avg_loss=0.143526, avg_acc=0.779183, avg_test_acc=0.182919
Epoch 18/20 - avg_loss=0.144664, avg_acc=0.782790, avg_test_acc=0.152237
Epoch 19/20 - avg_loss=0.144742, avg_acc=0.779980, avg_test_acc=0.049176
Epoch 20/20 - avg_loss=0.144543, avg_acc=0.780170, avg_test_acc=0.212045

Testing configuration: depth=5, learning_rate=5e-06, loss_function=L2, optimizer=Adagrad, normalization=0_to_2pi
Epoch 1/20 - avg_loss=1.228030, avg_acc=0.275841, avg_test_acc=0.347118
Epoch 2/20 - avg_loss=1.226171, avg_acc=0.276107, avg_test_acc=0.347346
Epoch 3/20 - avg_loss=1.224961, avg_acc=0.276411, avg_test_acc=0.347384
Epoch 4/20 - avg_loss=1.223984, avg_acc=0.276828, avg_test_acc=0.347422
Epoch 5/20 - avg_loss=1.223143, avg_acc=0.276980, avg_test_acc=0.347460
Epoch 6/20 - avg_loss=1.222394, avg_acc=0.277094, avg_test_acc=0.347460
Epoch 7/20 - avg_loss=1.221711, avg_acc=0.277436, avg_test_acc=0.347460
Epoch 8/20 - avg_loss=1.221080, avg_acc=0.277474, avg_test_acc=0.347687
Epoch 9/20 - avg_loss=1.220490, avg_acc=0.277512, avg_test_acc=0.347839
Epoch 10/20 - avg_loss=1.219935, avg_acc=0.277626, avg_test_acc=0.347839
Epoch 11/20 - avg_loss=1.219410, avg_acc=0.277702, avg_test_acc=0.347953
Epoch 12/20 - avg_loss=1.218909, avg_acc=0.277778, avg_test_acc=0.348105
Epoch 13/20 - avg_loss=1.218430, avg_acc=0.277892, avg_test_acc=0.348143
Epoch 14/20 - avg_loss=1.217971, avg_acc=0.277968, avg_test_acc=0.348181
Epoch 15/20 - avg_loss=1.217529, avg_acc=0.278120, avg_test_acc=0.348219
Epoch 16/20 - avg_loss=1.217102, avg_acc=0.278347, avg_test_acc=0.348409
Epoch 17/20 - avg_loss=1.216689, avg_acc=0.278537, avg_test_acc=0.348485
Epoch 18/20 - avg_loss=1.216289, avg_acc=0.278765, avg_test_acc=0.348485
Epoch 19/20 - avg_loss=1.215900, avg_acc=0.278879, avg_test_acc=0.348485
Epoch 20/20 - avg_loss=1.215523, avg_acc=0.278955, avg_test_acc=0.348561

Testing configuration: depth=6, learning_rate=0.0005, loss_function=Huber, optimizer=SGD, normalization=-pi_to_pi
Epoch 1/20 - avg_loss=0.245271, avg_acc=0.550277, avg_test_acc=0.385054
Epoch 2/20 - avg_loss=0.238674, avg_acc=0.566682, avg_test_acc=0.413686
Epoch 3/20 - avg_loss=0.237171, avg_acc=0.574011, avg_test_acc=0.404040
Epoch 4/20 - avg_loss=0.236587, avg_acc=0.580163, avg_test_acc=0.381104
Epoch 5/20 - avg_loss=0.235841, avg_acc=0.585631, avg_test_acc=0.371231
Epoch 6/20 - avg_loss=0.235316, avg_acc=0.587871, avg_test_acc=0.361814
Epoch 7/20 - avg_loss=0.235215, avg_acc=0.591593, avg_test_acc=0.365535
Epoch 8/20 - avg_loss=0.234933, avg_acc=0.593036, avg_test_acc=0.366067
Epoch 9/20 - avg_loss=0.234675, avg_acc=0.595086, avg_test_acc=0.362725
Epoch 10/20 - avg_loss=0.234113, avg_acc=0.596415, avg_test_acc=0.355358
Epoch 11/20 - avg_loss=0.233779, avg_acc=0.596036, avg_test_acc=0.354181
Epoch 12/20 - avg_loss=0.233752, avg_acc=0.595808, avg_test_acc=0.387256
Epoch 13/20 - avg_loss=0.233397, avg_acc=0.598542, avg_test_acc=0.399180
Epoch 14/20 - avg_loss=0.233078, avg_acc=0.597782, avg_test_acc=0.419496
Epoch 15/20 - avg_loss=0.232748, avg_acc=0.595390, avg_test_acc=0.431495
Epoch 16/20 - avg_loss=0.232692, avg_acc=0.603061, avg_test_acc=0.416116
Epoch 17/20 - avg_loss=0.232539, avg_acc=0.596871, avg_test_acc=0.419496
Epoch 18/20 - avg_loss=0.232535, avg_acc=0.593719, avg_test_acc=0.434457
Epoch 19/20 - avg_loss=0.232214, avg_acc=0.599795, avg_test_acc=0.444824
Epoch 20/20 - avg_loss=0.231995, avg_acc=0.599491, avg_test_acc=0.430090

Testing configuration: depth=2, learning_rate=5e-06, loss_function=L1, optimizer=SGD, normalization=none
Epoch 1/20 - avg_loss=0.864753, avg_acc=0.386497, avg_test_acc=0.416344
Epoch 2/20 - avg_loss=0.789974, avg_acc=0.475887, avg_test_acc=0.536910
Epoch 3/20 - avg_loss=0.742534, avg_acc=0.535429, avg_test_acc=0.533151
Epoch 4/20 - avg_loss=0.722861, avg_acc=0.535695, avg_test_acc=0.537252
Epoch 5/20 - avg_loss=0.709055, avg_acc=0.539796, avg_test_acc=0.541847
Epoch 6/20 - avg_loss=0.696103, avg_acc=0.543632, avg_test_acc=0.545455
Epoch 7/20 - avg_loss=0.682690, avg_acc=0.548189, avg_test_acc=0.550657
Epoch 8/20 - avg_loss=0.667250, avg_acc=0.555707, avg_test_acc=0.562429
Epoch 9/20 - avg_loss=0.647825, avg_acc=0.564973, avg_test_acc=0.567897
Epoch 10/20 - avg_loss=0.622472, avg_acc=0.572036, avg_test_acc=0.576023
Epoch 11/20 - avg_loss=0.589981, avg_acc=0.581719, avg_test_acc=0.586542
Epoch 12/20 - avg_loss=0.550992, avg_acc=0.588213, avg_test_acc=0.588137
Epoch 13/20 - avg_loss=0.508730, avg_acc=0.587378, avg_test_acc=0.589656
Epoch 14/20 - avg_loss=0.468006, avg_acc=0.619465, avg_test_acc=0.678059
Epoch 15/20 - avg_loss=0.433099, avg_acc=0.746298, avg_test_acc=0.795360
Epoch 16/20 - avg_loss=0.406015, avg_acc=0.805802, avg_test_acc=0.810701
Epoch 17/20 - avg_loss=0.386572, avg_acc=0.821789, avg_test_acc=0.824182
Epoch 18/20 - avg_loss=0.373257, avg_acc=0.817764, avg_test_acc=0.810891
Epoch 19/20 - avg_loss=0.364359, avg_acc=0.805385, avg_test_acc=0.801777
Epoch 20/20 - avg_loss=0.358434, avg_acc=0.798398, avg_test_acc=0.794752

Testing configuration: depth=2, learning_rate=0.05, loss_function=L2, optimizer=Adadelta, normalization=-pi_to_pi
Epoch 1/20 - avg_loss=0.547407, avg_acc=0.491266, avg_test_acc=0.392231
Epoch 2/20 - avg_loss=0.504806, avg_acc=0.559543, avg_test_acc=0.406129
Epoch 3/20 - avg_loss=0.503355, avg_acc=0.574201, avg_test_acc=0.390370
Epoch 4/20 - avg_loss=0.503445, avg_acc=0.577580, avg_test_acc=0.358016
Epoch 5/20 - avg_loss=0.503324, avg_acc=0.576441, avg_test_acc=0.336409
Epoch 6/20 - avg_loss=0.503448, avg_acc=0.576099, avg_test_acc=0.318410
Epoch 7/20 - avg_loss=0.503339, avg_acc=0.577352, avg_test_acc=0.319511
Epoch 8/20 - avg_loss=0.503522, avg_acc=0.575947, avg_test_acc=0.316131
Epoch 9/20 - avg_loss=0.502866, avg_acc=0.575150, avg_test_acc=0.309448
Epoch 10/20 - avg_loss=0.503160, avg_acc=0.576517, avg_test_acc=0.308764
Epoch 11/20 - avg_loss=0.503010, avg_acc=0.575644, avg_test_acc=0.304359
Epoch 12/20 - avg_loss=0.503135, avg_acc=0.575264, avg_test_acc=0.298739
Epoch 13/20 - avg_loss=0.502751, avg_acc=0.574201, avg_test_acc=0.309752
Epoch 14/20 - avg_loss=0.503024, avg_acc=0.574884, avg_test_acc=0.311347
Epoch 15/20 - avg_loss=0.502992, avg_acc=0.577466, avg_test_acc=0.318789
Epoch 16/20 - avg_loss=0.502768, avg_acc=0.575302, avg_test_acc=0.318562
Epoch 17/20 - avg_loss=0.503080, avg_acc=0.577580, avg_test_acc=0.326270
Epoch 18/20 - avg_loss=0.502851, avg_acc=0.578340, avg_test_acc=0.334093
Epoch 19/20 - avg_loss=0.502841, avg_acc=0.577049, avg_test_acc=0.329992
Epoch 20/20 - avg_loss=0.502829, avg_acc=0.577922, avg_test_acc=0.340586

Testing configuration: depth=7, learning_rate=5e-07, loss_function=L1, optimizer=Adadelta, normalization=-pi_to_pi
Epoch 1/20 - avg_loss=0.818452, avg_acc=0.424812, avg_test_acc=0.366105
Epoch 2/20 - avg_loss=0.818030, avg_acc=0.424812, avg_test_acc=0.366067
Epoch 3/20 - avg_loss=0.817608, avg_acc=0.425040, avg_test_acc=0.365991
Epoch 4/20 - avg_loss=0.817187, avg_acc=0.425420, avg_test_acc=0.365877
Epoch 5/20 - avg_loss=0.816765, avg_acc=0.425685, avg_test_acc=0.365915
Epoch 6/20 - avg_loss=0.816344, avg_acc=0.426027, avg_test_acc=0.365839
Epoch 7/20 - avg_loss=0.815921, avg_acc=0.426331, avg_test_acc=0.365839
Epoch 8/20 - avg_loss=0.815499, avg_acc=0.426445, avg_test_acc=0.365801
Epoch 9/20 - avg_loss=0.815078, avg_acc=0.427090, avg_test_acc=0.365725
Epoch 10/20 - avg_loss=0.814655, avg_acc=0.427660, avg_test_acc=0.365611
Epoch 11/20 - avg_loss=0.814233, avg_acc=0.428154, avg_test_acc=0.365459
Epoch 12/20 - avg_loss=0.813809, avg_acc=0.428382, avg_test_acc=0.365421
Epoch 13/20 - avg_loss=0.813387, avg_acc=0.428723, avg_test_acc=0.365231
Epoch 14/20 - avg_loss=0.812965, avg_acc=0.429141, avg_test_acc=0.365193
Epoch 15/20 - avg_loss=0.812542, avg_acc=0.429711, avg_test_acc=0.364927
Epoch 16/20 - avg_loss=0.812119, avg_acc=0.430508, avg_test_acc=0.364927
Epoch 17/20 - avg_loss=0.811696, avg_acc=0.430926, avg_test_acc=0.364776
Epoch 18/20 - avg_loss=0.811273, avg_acc=0.431533, avg_test_acc=0.364662
Epoch 19/20 - avg_loss=0.810850, avg_acc=0.432445, avg_test_acc=0.364624
Epoch 20/20 - avg_loss=0.810426, avg_acc=0.433546, avg_test_acc=0.364586

Testing configuration: depth=2, learning_rate=0.005, loss_function=Huber, optimizer=Adagrad, normalization=none
Epoch 1/20 - avg_loss=0.163608, avg_acc=0.721880, avg_test_acc=0.804283
Epoch 2/20 - avg_loss=0.106757, avg_acc=0.806676, avg_test_acc=0.810587
Epoch 3/20 - avg_loss=0.100073, avg_acc=0.811992, avg_test_acc=0.814119
Epoch 4/20 - avg_loss=0.096810, avg_acc=0.810853, avg_test_acc=0.810663
Epoch 5/20 - avg_loss=0.094871, avg_acc=0.811726, avg_test_acc=0.812790
Epoch 6/20 - avg_loss=0.093454, avg_acc=0.812941, avg_test_acc=0.814157
Epoch 7/20 - avg_loss=0.092230, avg_acc=0.814233, avg_test_acc=0.815220
Epoch 8/20 - avg_loss=0.091067, avg_acc=0.816207, avg_test_acc=0.816815
Epoch 9/20 - avg_loss=0.089867, avg_acc=0.816967, avg_test_acc=0.816815
Epoch 10/20 - avg_loss=0.088627, avg_acc=0.817878, avg_test_acc=0.818486
Epoch 11/20 - avg_loss=0.087368, avg_acc=0.818448, avg_test_acc=0.818562
Epoch 12/20 - avg_loss=0.086113, avg_acc=0.819131, avg_test_acc=0.821410
Epoch 13/20 - avg_loss=0.084903, avg_acc=0.822397, avg_test_acc=0.825169
Epoch 14/20 - avg_loss=0.083774, avg_acc=0.825321, avg_test_acc=0.826574
Epoch 15/20 - avg_loss=0.082745, avg_acc=0.828928, avg_test_acc=0.830030
Epoch 16/20 - avg_loss=0.081813, avg_acc=0.831017, avg_test_acc=0.831283
Epoch 17/20 - avg_loss=0.080962, avg_acc=0.831017, avg_test_acc=0.830979
Epoch 18/20 - avg_loss=0.080180, avg_acc=0.833333, avg_test_acc=0.838384
Epoch 19/20 - avg_loss=0.079450, avg_acc=0.838346, avg_test_acc=0.837852
Epoch 20/20 - avg_loss=0.078763, avg_acc=0.839257, avg_test_acc=0.841270

Testing configuration: depth=1, learning_rate=0.005, loss_function=Huber, optimizer=Adagrad, normalization=none
Epoch 1/20 - avg_loss=0.335256, avg_acc=0.520354, avg_test_acc=0.509000
Epoch 2/20 - avg_loss=0.304279, avg_acc=0.503038, avg_test_acc=0.492595
Epoch 3/20 - avg_loss=0.299847, avg_acc=0.486671, avg_test_acc=0.485304
Epoch 4/20 - avg_loss=0.297338, avg_acc=0.481849, avg_test_acc=0.477975
Epoch 5/20 - avg_loss=0.295285, avg_acc=0.477064, avg_test_acc=0.476456
Epoch 6/20 - avg_loss=0.293415, avg_acc=0.476950, avg_test_acc=0.478089
Epoch 7/20 - avg_loss=0.291636, avg_acc=0.478963, avg_test_acc=0.482418
Epoch 8/20 - avg_loss=0.289916, avg_acc=0.484848, avg_test_acc=0.485646
Epoch 9/20 - avg_loss=0.288229, avg_acc=0.489823, avg_test_acc=0.492519
Epoch 10/20 - avg_loss=0.286566, avg_acc=0.495139, avg_test_acc=0.498595
Epoch 11/20 - avg_loss=0.284915, avg_acc=0.502240, avg_test_acc=0.505051
Epoch 12/20 - avg_loss=0.283271, avg_acc=0.509190, avg_test_acc=0.513253
Epoch 13/20 - avg_loss=0.281618, avg_acc=0.517658, avg_test_acc=0.519898
Epoch 14/20 - avg_loss=0.279963, avg_acc=0.523885, avg_test_acc=0.528594
Epoch 15/20 - avg_loss=0.278284, avg_acc=0.532543, avg_test_acc=0.536379
Epoch 16/20 - avg_loss=0.276579, avg_acc=0.539986, avg_test_acc=0.544923
Epoch 17/20 - avg_loss=0.274853, avg_acc=0.548454, avg_test_acc=0.551872
Epoch 18/20 - avg_loss=0.273080, avg_acc=0.555442, avg_test_acc=0.560036
Epoch 19/20 - avg_loss=0.271259, avg_acc=0.563758, avg_test_acc=0.567403
Epoch 20/20 - avg_loss=0.269376, avg_acc=0.570859, avg_test_acc=0.574732

Testing configuration: depth=4, learning_rate=5e-07, loss_function=Huber, optimizer=Adam, normalization=none
Epoch 1/20 - avg_loss=0.499491, avg_acc=0.325777, avg_test_acc=0.327827
Epoch 2/20 - avg_loss=0.492204, avg_acc=0.330068, avg_test_acc=0.332232
Epoch 3/20 - avg_loss=0.484946, avg_acc=0.334473, avg_test_acc=0.337510
Epoch 4/20 - avg_loss=0.477693, avg_acc=0.343017, avg_test_acc=0.346966
Epoch 5/20 - avg_loss=0.470518, avg_acc=0.349054, avg_test_acc=0.350649
Epoch 6/20 - avg_loss=0.463361, avg_acc=0.352282, avg_test_acc=0.355358
Epoch 7/20 - avg_loss=0.456286, avg_acc=0.358206, avg_test_acc=0.360940
Epoch 8/20 - avg_loss=0.449256, avg_acc=0.363484, avg_test_acc=0.366446
Epoch 9/20 - avg_loss=0.442331, avg_acc=0.369902, avg_test_acc=0.373737
Epoch 10/20 - avg_loss=0.435464, avg_acc=0.376016, avg_test_acc=0.378826
Epoch 11/20 - avg_loss=0.428702, avg_acc=0.383876, avg_test_acc=0.386269
Epoch 12/20 - avg_loss=0.422001, avg_acc=0.388205, avg_test_acc=0.393939
Epoch 13/20 - avg_loss=0.415345, avg_acc=0.397129, avg_test_acc=0.400547
Epoch 14/20 - avg_loss=0.408779, avg_acc=0.403851, avg_test_acc=0.406850
Epoch 15/20 - avg_loss=0.402229, avg_acc=0.408787, avg_test_acc=0.409888
Epoch 16/20 - avg_loss=0.395710, avg_acc=0.411863, avg_test_acc=0.413306
Epoch 17/20 - avg_loss=0.389238, avg_acc=0.414787, avg_test_acc=0.415812
Epoch 18/20 - avg_loss=0.382778, avg_acc=0.417065, avg_test_acc=0.416344
Epoch 19/20 - avg_loss=0.376314, avg_acc=0.417863, avg_test_acc=0.418964
Epoch 20/20 - avg_loss=0.369838, avg_acc=0.420559, avg_test_acc=0.421660

Testing configuration: depth=3, learning_rate=0.005, loss_function=Huber, optimizer=Adagrad, normalization=none
Epoch 1/20 - avg_loss=0.222840, avg_acc=0.551606, avg_test_acc=0.631351
Epoch 2/20 - avg_loss=0.124609, avg_acc=0.742007, avg_test_acc=0.804245
Epoch 3/20 - avg_loss=0.098975, avg_acc=0.818410, avg_test_acc=0.827068
Epoch 4/20 - avg_loss=0.089329, avg_acc=0.829688, avg_test_acc=0.839789
Epoch 5/20 - avg_loss=0.084345, avg_acc=0.841688, avg_test_acc=0.845257
Epoch 6/20 - avg_loss=0.081895, avg_acc=0.847915, avg_test_acc=0.848979
Epoch 7/20 - avg_loss=0.080541, avg_acc=0.851599, avg_test_acc=0.852434
Epoch 8/20 - avg_loss=0.079648, avg_acc=0.852890, avg_test_acc=0.853459
Epoch 9/20 - avg_loss=0.078988, avg_acc=0.855928, avg_test_acc=0.857447
Epoch 10/20 - avg_loss=0.078458, avg_acc=0.855130, avg_test_acc=0.856915
Epoch 11/20 - avg_loss=0.078024, avg_acc=0.857219, avg_test_acc=0.857788
Epoch 12/20 - avg_loss=0.077639, avg_acc=0.857750, avg_test_acc=0.858510
Epoch 13/20 - avg_loss=0.077297, avg_acc=0.858472, avg_test_acc=0.858244
Epoch 14/20 - avg_loss=0.076978, avg_acc=0.858852, avg_test_acc=0.859649
Epoch 15/20 - avg_loss=0.076682, avg_acc=0.859611, avg_test_acc=0.859877
Epoch 16/20 - avg_loss=0.076400, avg_acc=0.859991, avg_test_acc=0.860333
Epoch 17/20 - avg_loss=0.076128, avg_acc=0.860257, avg_test_acc=0.861168
Epoch 18/20 - avg_loss=0.075865, avg_acc=0.860978, avg_test_acc=0.861396
Epoch 19/20 - avg_loss=0.075607, avg_acc=0.861358, avg_test_acc=0.861244
Epoch 20/20 - avg_loss=0.075355, avg_acc=0.861396, avg_test_acc=0.861396

Testing configuration: depth=10, learning_rate=5e-05, loss_function=Huber, optimizer=Adam, normalization=none
Epoch 1/20 - avg_loss=0.215635, avg_acc=0.630630, avg_test_acc=0.865421
Epoch 2/20 - avg_loss=0.048113, avg_acc=0.916572, avg_test_acc=0.945432
Epoch 3/20 - avg_loss=0.033904, avg_acc=0.948660, avg_test_acc=0.959824
Epoch 4/20 - avg_loss=0.028172, avg_acc=0.960925, avg_test_acc=0.966469
Epoch 5/20 - avg_loss=0.024329, avg_acc=0.967836, avg_test_acc=0.970456
Epoch 6/20 - avg_loss=0.021847, avg_acc=0.971861, avg_test_acc=0.973494
Epoch 7/20 - avg_loss=0.020424, avg_acc=0.973836, avg_test_acc=0.975507
Epoch 8/20 - avg_loss=0.019472, avg_acc=0.976342, avg_test_acc=0.975735
Epoch 9/20 - avg_loss=0.018837, avg_acc=0.976418, avg_test_acc=0.976153
Epoch 10/20 - avg_loss=0.018366, avg_acc=0.977254, avg_test_acc=0.976836
Epoch 11/20 - avg_loss=0.017985, avg_acc=0.977937, avg_test_acc=0.977216
Epoch 12/20 - avg_loss=0.017699, avg_acc=0.977823, avg_test_acc=0.978583
Epoch 13/20 - avg_loss=0.017462, avg_acc=0.978089, avg_test_acc=0.979114
Epoch 14/20 - avg_loss=0.017260, avg_acc=0.978545, avg_test_acc=0.979912
Epoch 15/20 - avg_loss=0.017077, avg_acc=0.978849, avg_test_acc=0.978393
Epoch 16/20 - avg_loss=0.016887, avg_acc=0.978507, avg_test_acc=0.978241
Epoch 17/20 - avg_loss=0.016752, avg_acc=0.978545, avg_test_acc=0.979532
Epoch 18/20 - avg_loss=0.016629, avg_acc=0.978469, avg_test_acc=0.979608
Epoch 19/20 - avg_loss=0.016490, avg_acc=0.978925, avg_test_acc=0.979039
Epoch 20/20 - avg_loss=0.016373, avg_acc=0.978887, avg_test_acc=0.978963

Testing configuration: depth=8, learning_rate=0.5, loss_function=Huber, optimizer=Adam, normalization=none
Epoch 1/20 - avg_loss=0.450988, avg_acc=0.333979, avg_test_acc=0.336675
Epoch 2/20 - avg_loss=0.448971, avg_acc=0.335840, avg_test_acc=0.342181
Epoch 3/20 - avg_loss=0.454719, avg_acc=0.327447, avg_test_acc=0.327296
Epoch 4/20 - avg_loss=0.446024, avg_acc=0.337283, avg_test_acc=0.340586
Epoch 5/20 - avg_loss=0.451117, avg_acc=0.331928, avg_test_acc=0.328511
Epoch 6/20 - avg_loss=0.450104, avg_acc=0.337359, avg_test_acc=0.340966
Epoch 7/20 - avg_loss=0.456325, avg_acc=0.327979, avg_test_acc=0.337359
Epoch 8/20 - avg_loss=0.450842, avg_acc=0.331549, avg_test_acc=0.334169
Epoch 9/20 - avg_loss=0.456071, avg_acc=0.333219, avg_test_acc=0.331245
Epoch 10/20 - avg_loss=0.448695, avg_acc=0.334245, avg_test_acc=0.331397
Epoch 11/20 - avg_loss=0.453219, avg_acc=0.334435, avg_test_acc=0.327409
