Starting Bayesian optimization with parallelism...

Testing configuration: depth=9, learning_rate=0.5, loss_function=L2, optimizer=Adagrad
Epoch 1/20 - avg_loss=0.184102, avg_acc=0.821675
Epoch 6/20 - avg_loss=0.192755, avg_acc=0.833143
Epoch 7/20 - avg_loss=0.192173, avg_acc=0.834093
Epoch 8/20 - avg_loss=0.191427, avg_acc=0.833257
Epoch 9/20 - avg_loss=0.191020, avg_acc=0.833409
Epoch 10/20 - avg_loss=0.190936, avg_acc=0.834321
Epoch 11/20 - avg_loss=0.190684, avg_acc=0.836295
Epoch 12/20 - avg_loss=0.189852, avg_acc=0.836599
Epoch 13/20 - avg_loss=0.189988, avg_acc=0.836865
Epoch 14/20 - avg_loss=0.190062, avg_acc=0.838460
Epoch 15/20 - avg_loss=0.189758, avg_acc=0.837131
Epoch 16/20 - avg_loss=0.188940, avg_acc=0.838991
Epoch 17/20 - avg_loss=0.189290, avg_acc=0.839941
Epoch 18/20 - avg_loss=0.188983, avg_acc=0.839941
Epoch 19/20 - avg_loss=0.188827, avg_acc=0.841384
Epoch 20/20 - avg_loss=0.188483, avg_acc=0.840966

Testing configuration: depth=4, learning_rate=0.0005, loss_function=L1, optimizer=Adagrad
Epoch 1/20 - avg_loss=0.644656, avg_acc=0.503570
Epoch 2/20 - avg_loss=0.615385, avg_acc=0.540404
Epoch 3/20 - avg_loss=0.600979, avg_acc=0.557037
Epoch 4/20 - avg_loss=0.591944, avg_acc=0.564441
Epoch 5/20 - avg_loss=0.585191, avg_acc=0.568163
Epoch 6/20 - avg_loss=0.580463, avg_acc=0.571732
Epoch 7/20 - avg_loss=0.576736, avg_acc=0.575909
Epoch 8/20 - avg_loss=0.573559, avg_acc=0.579251
Epoch 9/20 - avg_loss=0.570825, avg_acc=0.583011
Epoch 10/20 - avg_loss=0.568675, avg_acc=0.582403
Epoch 11/20 - avg_loss=0.566902, avg_acc=0.582593
Epoch 12/20 - avg_loss=0.565311, avg_acc=0.588631
Epoch 13/20 - avg_loss=0.563842, avg_acc=0.590909
Epoch 14/20 - avg_loss=0.562484, avg_acc=0.591517
Epoch 15/20 - avg_loss=0.561206, avg_acc=0.592884
Epoch 16/20 - avg_loss=0.559996, avg_acc=0.593833
Epoch 17/20 - avg_loss=0.558847, avg_acc=0.593833
Epoch 18/20 - avg_loss=0.557756, avg_acc=0.594403
Epoch 19/20 - avg_loss=0.556764, avg_acc=0.599491
Epoch 20/20 - avg_loss=0.555819, avg_acc=0.597782

Testing configuration: depth=3, learning_rate=0.0005, loss_function=L1, optimizer=Adam
Epoch 1/20 - avg_loss=0.548817, avg_acc=0.646617
Epoch 2/20 - avg_loss=0.282727, avg_acc=0.843852
Epoch 3/20 - avg_loss=0.227074, avg_acc=0.880763
Epoch 4/20 - avg_loss=0.224354, avg_acc=0.882206
Epoch 5/20 - avg_loss=0.224136, avg_acc=0.881978
Epoch 6/20 - avg_loss=0.223983, avg_acc=0.882168
Epoch 7/20 - avg_loss=0.223813, avg_acc=0.881788
Epoch 8/20 - avg_loss=0.223734, avg_acc=0.881446
Epoch 9/20 - avg_loss=0.223732, avg_acc=0.881978
Epoch 10/20 - avg_loss=0.223673, avg_acc=0.882661
Epoch 11/20 - avg_loss=0.223543, avg_acc=0.881864
Epoch 12/20 - avg_loss=0.223501, avg_acc=0.882661
Epoch 13/20 - avg_loss=0.223611, avg_acc=0.882395
Epoch 14/20 - avg_loss=0.223516, avg_acc=0.881294
Epoch 15/20 - avg_loss=0.223487, avg_acc=0.882206
Epoch 16/20 - avg_loss=0.223469, avg_acc=0.881864
Epoch 17/20 - avg_loss=0.223614, avg_acc=0.882699
Epoch 18/20 - avg_loss=0.223447, avg_acc=0.881636
Epoch 19/20 - avg_loss=0.223523, avg_acc=0.881560
Epoch 20/20 - avg_loss=0.223385, avg_acc=0.880573

Testing configuration: depth=8, learning_rate=0.005, loss_function=L2, optimizer=Adagrad
Epoch 1/20 - avg_loss=0.579537, avg_acc=0.573403
Epoch 2/20 - avg_loss=0.474247, avg_acc=0.638642
Epoch 3/20 - avg_loss=0.438585, avg_acc=0.648667
Epoch 4/20 - avg_loss=0.414424, avg_acc=0.662869
Epoch 5/20 - avg_loss=0.395933, avg_acc=0.682578
Epoch 6/20 - avg_loss=0.379573, avg_acc=0.693704
Epoch 7/20 - avg_loss=0.365244, avg_acc=0.701830
Epoch 8/20 - avg_loss=0.353294, avg_acc=0.713564
Epoch 9/20 - avg_loss=0.343722, avg_acc=0.717513
Epoch 10/20 - avg_loss=0.336149, avg_acc=0.722640
Epoch 11/20 - avg_loss=0.330166, avg_acc=0.722184
Epoch 12/20 - avg_loss=0.325379, avg_acc=0.725412
Epoch 13/20 - avg_loss=0.321487, avg_acc=0.734716
Epoch 14/20 - avg_loss=0.318262, avg_acc=0.737867
Epoch 15/20 - avg_loss=0.315535, avg_acc=0.738893
Epoch 16/20 - avg_loss=0.313192, avg_acc=0.740298
Epoch 17/20 - avg_loss=0.311148, avg_acc=0.743108
Epoch 18/20 - avg_loss=0.309345, avg_acc=0.744855
Epoch 19/20 - avg_loss=0.307734, avg_acc=0.747399
Epoch 20/20 - avg_loss=0.306268, avg_acc=0.748120
